han,target
波,audio/b.mp3
坡,audio/p.mp3
摸,audio/m.mp3
佛,audio/f.mp3
得,audio/d.mp3
特,audio/t.mp3
呢,audio/n.mp3
勒,audio/l.mp3
哥,audio/g.mp3
科,audio/k.mp3
喝,audio/h.mp3
雞,audio/j.mp3
七,audio/q.mp3
西,audio/x.mp3
知,audio/zh.mp3
吃,audio/ch.mp3
師,audio/sh.mp3
日,audio/r.mp3
資,audio/z.mp3
雌,audio/ts.mp3
思,audio/s.mp3
啊,audio/a.mp3
喔,audio/o.mp3
惡,audio/e.mp3
耶,audio/eh.mp3
哀,audio/ai.mp3
誒,audio/ei.mp3
凹,audio/ao.mp3
歐,audio/ou.mp3
安,audio/an.mp3
恩,audio/en.mp3
骯,audio/ang.mp3
鞥,audio/eng.mp3
兒,audio/er.mp3
衣,audio/i.mp3
烏,audio/u.mp3
迂,audio/yu.mp3
貓,audio/w/mao1.mp3
狗,audio/w/gou3.mp3
馬,audio/w/ma3.mp3
豬,audio/w/zhu1.mp3
兔,audio/w/tu4.mp3
雞,audio/w/ji1.mp3
蛇,audio/w/she2.mp3
蜂,audio/w/feng1.mp3
山,audio/w/shan1.mp3
車,audio/w/che1.mp3
茶,audio/w/cha2.mp3
蛋,audio/w/dan4.mp3
糖,audio/w/tang2.mp3
飯,audio/w/fan4.mp3
傘,audio/w/san3.mp3
帽,audio/w/mao4.mp3
刀,audio/w/dao1.mp3
書,audio/w/shu1.mp3
手,audio/w/shou3.mp3
門,audio/w/men2.mp3
燈,audio/w/deng1.mp3
草,audio/w/cao3.mp3
樹,audio/w/shu4.mp3
耳,audio/w/er3.mp3
花,audio/w/hua1.mp3
火,audio/w/huo3.mp3
水,audio/w/shui3.mp3
鳥,audio/w/niao3.mp3
象,audio/w/xiang4.mp3
腳,audio/w/jiao3.mp3
鼻,audio/w/bi2.mp3
餅,audio/w/bing3.mp3
球,audio/w/qiu2.mp3
鞋,audio/w/xie2.mp3
星,audio/w/xing1.mp3
魚,audio/w/yu2.mp3
雨,audio/w/yu3.mp3
月,audio/w/yue4.mp3
羊,audio/w/yang2.mp3
鴨,audio/w/ya1.mp3
眼,audio/w/yan3.mp3
葉,audio/w/ye4.mp3
雪,audio/w/xue3.mp3
熊,audio/w/xiong2.mp3
船,audio/w/chuan2.mp3
床,audio/w/chuang2.mp3
